segment_id,function_class,lane_number,speed_class,road_length,out_degree,trajectory_count,medium_speed,other_attrs_json
90000231813781,5,1,5,57,2,5,0,
90001756565541,5,1,6,168,3,5,0,
90000012970270,5,1,6,156,4,5,11,
186670951,5,1,6,161,2,5,9,
6202219791,5,1,6,55,2,5,1,
862880511,5,1,6,67,4,5,6,
90000573330651,5,1,6,87,2,5,5,
90000328280341,5,1,6,63,3,5,7,
90001654735170,5,1,6,47,4,5,15,
3798491,2,2,5,81,2,5,12,
90001880204721,5,1,6,86,3,5,8,
90000012655560,5,1,6,93,3,5,4,
740137380,5,1,6,145,3,5,12,
90000571865011,5,1,6,9,3,5,2,
90000246678921,5,1,7,28,4,5,0,
5011667920,5,1,6,61,3,5,3,
10069941041,5,1,6,127,1,5,2,
90001738375580,5,1,6,25,2,5,2,
404145861,5,1,6,127,3,5,18,
90000384690570,5,1,6,85,3,5,5,
90000396476680,5,1,6,96,3,5,2,
90001928834450,5,1,5,39,3,5,1,
90001144787561,5,1,6,122,3,5,0,
155941201,5,1,6,275,2,5,9,
90000815225380,5,1,6,54,3,5,6,
90000258423180,5,1,6,39,4,5,0,
90001335671820,5,1,6,70,4,5,11,
712304820,5,1,6,369,3,6,14,
90001738458651,5,1,6,102,3,5,1,
356360520,5,1,6,42,3,5,8,
90000912974451,5,1,6,21,3,5,1,
90001561803201,5,1,6,16,3,5,5,
886532691,5,2,7,15,2,5,0,
165704530,5,1,6,71,4,5,0,
296915911,5,1,6,33,4,5,8,
625935141,5,1,6,162,2,5,9,
724401580,5,1,6,186,3,5,8,
90001512916880,5,1,6,6,3,5,8,
501090470,5,1,6,143,3,5,8,
90001814847771,5,1,7,50,2,5,2,
90001818462730,5,1,7,22,3,5,0,
706100050,5,2,6,22,4,5,1,
701989990,5,1,6,212,2,5,8,
90000220334400,5,1,6,17,3,5,8,
3896510,5,1,6,124,3,5,4,
498318961,5,1,6,31,3,5,0,
90001291715350,5,1,6,65,1,5,8,
4600741,2,2,5,361,4,5,14,
90000119865511,5,1,6,237,3,5,6,
90001582447760,5,1,6,190,3,5,13,
90001616367240,5,1,6,68,2,5,5,
180620611,5,1,6,43,3,5,1,
330637701,5,1,6,83,2,5,6,
187590760,5,1,6,61,3,5,4,
90001891929961,5,1,6,104,3,5,4,
4870110,5,1,6,165,3,5,10,
90001846902470,5,1,6,167,3,5,0,
433329141,3,1,6,9,3,5,10,
3903941,5,1,6,76,4,5,1,
500352211,5,1,6,78,3,5,2,
548970730,5,1,6,24,4,5,7,
90001435078221,5,1,6,16,3,5,4,
